Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Jakob Poeltl,TOR,ATL,W,22.366666666666667,7,8,0.875,0,0,0.0,0,1,0.0,3,3,6,2,0,1,2,6,14,11.5,2025-10-22
Immanuel Quickley,TOR,ATL,W,28.7,5,12,0.417,0,7,0.0,3,4,0.75,0,4,4,8,1,0,3,3,13,9.8,2025-10-22
Kyle Kuzma,MIL,WAS,W,23.3,5,10,0.5,0,2,0.0,2,2,1.0,0,4,4,3,2,2,1,1,12,12.299999999999999,2025-10-22
Sam Merrill,CLE,NYK,L,28.358333333333334,6,11,0.545,5,10,0.5,2,2,1.0,1,2,3,1,0,0,1,6,19,12.299999999999997,2025-10-22
Payton Pritchard,BOS,PHI,L,37.15,6,14,0.429,1,7,0.143,3,4,0.75,2,3,5,2,2,0,2,3,16,10.7,2025-10-22
Kevin Huerter,CHI,DET,W,27.233333333333334,4,11,0.364,2,6,0.333,5,6,0.833,1,4,5,0,1,2,1,2,15,11.0,2025-10-22
Andrew Wiggins,MIA,ORL,L,31.85,6,12,0.5,1,5,0.2,5,7,0.714,0,4,4,1,1,1,1,4,18,12.199999999999998,2025-10-22
Onyeka Okongwu,ATL,TOR,L,29.75,8,12,0.667,1,2,0.5,1,1,1.0,2,4,6,1,0,0,0,2,18,15.3,2025-10-22
Trey Murphy III,NOP,MEM,L,31.866666666666667,5,15,0.333,1,6,0.167,2,2,1.0,2,5,7,3,0,0,1,4,13,6.9,2025-10-22
Ayo Dosunmu,CHI,DET,W,26.5,6,14,0.429,2,5,0.4,0,0,0.0,2,3,5,2,0,0,0,1,14,9.9,2025-10-22
Royce O'Neale,PHX,SAC,W,29.05,4,8,0.5,3,7,0.429,1,2,0.5,2,3,5,2,1,0,1,2,12,10.5,2025-10-22
Santi Aldama,MEM,NOP,W,24.223333333333333,2,7,0.286,0,3,0.0,1,3,0.333,1,5,6,2,1,2,2,5,5,2.0999999999999996,2025-10-22
Jusuf Nurkić,UTA,LAC,W,16.933333333333334,4,9,0.444,0,3,0.0,0,0,0.0,1,3,4,3,2,0,1,1,8,7.6,2025-10-22
Ben Saraf,BKN,CHA,L,20.016666666666666,2,7,0.286,0,3,0.0,4,6,0.667,1,6,7,4,0,0,0,2,8,7.600000000000002,2025-10-22
Tristan da Silva,ORL,MIA,W,18.25,5,8,0.625,3,5,0.6,3,4,0.75,0,1,1,0,0,0,1,0,16,11.3,2025-10-22
Kon Knueppel,CHA,BKN,W,25.483333333333334,4,6,0.667,3,4,0.75,0,0,0.0,0,5,5,1,0,0,2,3,11,7.399999999999999,2025-10-22
Cam Thomas,BKN,CHA,L,24.066666666666666,2,9,0.222,0,2,0.0,11,13,0.846,0,1,1,2,0,1,2,2,15,8.299999999999999,2025-10-22
Jamal Shead,TOR,ATL,W,19.3,3,5,0.6,1,2,0.5,3,4,0.75,1,1,2,5,1,0,2,1,10,10.399999999999999,2025-10-22
