player,market,line,over_odds,under_odds,num_books
Davion Mitchell,player_points,8.8,200,190,7
Davion Mitchell,player_points_assists,14.8,-110,145,4
Davion Mitchell,player_points_rebounds,11.5,115,120,3
Davion Mitchell,player_points_rebounds_assists,17.9,125,155,6
Davion Mitchell,player_rebounds,2.5,100,-115,6
De'Aaron Fox,player_assists,4.8,130,116,7
De'Aaron Fox,player_blocks,0.5,310,-500,1
De'Aaron Fox,player_points,16.9,175,175,7
De'Aaron Fox,player_points_assists,21.5,-104,130,4
De'Aaron Fox,player_points_rebounds,20.3,-105,130,4
De'Aaron Fox,player_points_rebounds_assists,25.4,110,150,7
De'Aaron Fox,player_rebounds,3.6,150,105,7
De'Aaron Fox,player_steals,1.5,176,-220,2
De'Anthony Melton,player_points,12.0,175,175,1
De'Anthony Melton,player_points_rebounds,14.5,-105,135,1
De'Anthony Melton,player_points_rebounds_assists,18.5,-115,-115,1
De'Anthony Melton,player_rebounds,3.0,110,155,1
DeMar DeRozan,player_assists,3.6,135,120,8
DeMar DeRozan,player_blocks,0.5,175,-250,1
DeMar DeRozan,player_points,19.7,190,185,8
DeMar DeRozan,player_points_assists,23.5,-105,120,4
DeMar DeRozan,player_points_rebounds,22.7,-105,120,4
DeMar DeRozan,player_points_rebounds_assists,26.6,110,150,6
DeMar DeRozan,player_rebounds,3.4,124,150,8
DeMar DeRozan,player_steals,1.5,162,-181,2
Deandre Ayton,player_assists,0.5,-190,140,1
Deandre Ayton,player_blocks,0.5,-150,117,3
Deandre Ayton,player_points,13.0,155,190,7
Deandre Ayton,player_points_assists,13.5,-120,-110,1
Deandre Ayton,player_points_rebounds,22.3,105,110,4
Deandre Ayton,player_points_rebounds_assists,23.2,-105,-103,3
Deandre Ayton,player_rebounds,9.0,175,185,7
Dennis Schroder,player_assists,3.9,136,135,7
Dennis Schroder,player_points,11.1,210,200,7
Dennis Schroder,player_points_assists,15.1,110,115,3
Dennis Schroder,player_points_rebounds_assists,17.0,105,-105,3
Dennis Schroder,player_rebounds,2.0,144,150,4
Devin Booker,player_assists,6.5,180,145,7
Devin Booker,player_blocks,0.5,185,-275,1
Devin Booker,player_points,24.5,210,180,7
Devin Booker,player_points_assists,30.5,105,105,4
Devin Booker,player_points_rebounds,28.5,105,105,4
Devin Booker,player_points_rebounds_assists,34.7,120,135,6
Devin Booker,player_rebounds,3.9,134,135,7
Dillon Brooks,player_assists,1.5,120,-155,1
Dillon Brooks,player_blocks,0.5,500,-1000,1
Dillon Brooks,player_points,16.6,190,170,7
Dillon Brooks,player_points_assists,18.5,-105,-125,1
Dillon Brooks,player_points_rebounds,20.0,105,115,4
Dillon Brooks,player_points_rebounds_assists,21.5,-115,-115,1
Dillon Brooks,player_rebounds,3.5,205,170,7
Domantas Sabonis,player_assists,3.0,144,160,7
Domantas Sabonis,player_points,13.1,190,200,7
