player,tm,opp,res,mp,fg,fga,fg_pct,3p,3pa,3p_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,game_date,game_id,matchup_id,is_home,won
Max Christie,DAL,MIA,W,32.376666666666665,3,6,0.5,2,4,0.5,2,2,1.0,0,2,2,2,0,0,1,1,10,7.6,2025-12-03,20251203_Max_Christie_DAL_MIA,20251203_DAL_MIA,,1
Maxime Raynaud,SAC,HOU,L,32.306666666666665,10,15,0.667,2,2,1.0,3,3,1.0,2,4,6,3,1,1,1,0,25,23.899999999999995,2025-12-03,20251203_Maxime_Raynaud_SAC_HOU,20251203_HOU_SAC,,0
Michael Porter Jr.,BKN,CHI,W,33.583333333333336,10,20,0.5,5,12,0.417,8,10,0.8,1,9,10,5,2,1,3,4,33,27.2,2025-12-03,20251203_Michael_Porter_Jr._BKN_CHI,20251203_BKN_CHI,,1
Mikal Bridges,NYK,CHA,W,35.903333333333336,7,14,0.5,2,7,0.286,0,0,0.0,1,3,4,2,2,1,0,2,16,13.9,2025-12-03,20251203_Mikal_Bridges_NYK_CHA,20251203_CHA_NYK,,1
Miles Bridges,CHA,NYK,L,28.516666666666666,3,12,0.25,0,5,0.0,2,2,1.0,1,5,6,0,0,0,1,2,8,1.200000000000001,2025-12-03,20251203_Miles_Bridges_CHA_NYK,20251203_CHA_NYK,,0
Miles McBride,NYK,CHA,W,34.028333333333336,4,9,0.444,3,7,0.429,4,5,0.8,1,1,2,1,0,0,0,3,15,10.4,2025-12-03,20251203_Miles_McBride_NYK_CHA,20251203_CHA_NYK,,1
Mohamed Diawara,NYK,CHA,W,1.36,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-12-03,20251203_Mohamed_Diawara_NYK_CHA,20251203_CHA_NYK,,1
Mouhamed Gueye,ATL,LAC,L,22.58333333333333,0,2,0.0,0,0,0.0,0,0,0.0,0,6,6,0,1,0,1,5,0,-1.6,2025-12-03,20251203_Mouhamed_Gueye_ATL_LAC,20251203_ATL_LAC,,0
Moussa Diabaté,CHA,NYK,L,19.93,1,2,0.5,0,0,0.0,0,0,0.0,3,5,8,2,1,0,2,4,2,3.4000000000000004,2025-12-03,20251203_Moussa_Diabaté_CHA_NYK,20251203_CHA_NYK,,0
Myles Turner,MIL,DET,W,19.665,2,5,0.4,1,4,0.25,4,4,1.0,0,3,3,1,0,2,0,4,9,7.700000000000001,2025-12-03,20251203_Myles_Turner_MIL_DET,20251203_DET_MIL,,1
Nae'Qwan Tomlin,CLE,POR,L,15.556666666666668,2,4,0.5,1,3,0.333,2,2,1.0,1,3,4,1,2,0,0,2,7,8.499999999999998,2025-12-03,20251203_Nae'Qwan_Tomlin_CLE_POR,20251203_CLE_POR,,0
Naji Marshall,DAL,MIA,W,35.68333333333333,8,12,0.667,2,4,0.5,0,0,0.0,3,2,5,4,2,1,0,4,18,19.4,2025-12-03,20251203_Naji_Marshall_DAL_MIA,20251203_DAL_MIA,,1
Nic Claxton,BKN,CHI,W,35.45,6,7,0.857,0,0,0.0,2,3,0.667,1,7,8,9,2,3,1,2,14,22.5,2025-12-03,20251203_Nic_Claxton_BKN_CHI,20251203_BKN_CHI,,1
Nickeil Alexander-Walker,ATL,LAC,L,30.65,7,18,0.389,2,7,0.286,5,7,0.714,1,4,5,3,1,0,1,2,21,13.599999999999998,2025-12-03,20251203_Nickeil_Alexander-Walker_ATL_LAC,20251203_ATL_LAC,,0
Nicolas Batum,LAC,ATL,W,19.95,2,4,0.5,2,4,0.5,0,0,0.0,0,3,3,2,0,0,1,2,6,4.500000000000001,2025-12-03,20251203_Nicolas_Batum_LAC_ATL,20251203_ATL_LAC,,1
Nikola Jokić,DEN,IND,W,35.28333333333333,9,17,0.529,1,4,0.25,5,5,1.0,1,7,8,13,0,1,4,2,24,23.5,2025-12-03,20251203_Nikola_Jokić_DEN_IND,20251203_DEN_IND,,1
Nikola Jović,MIA,DAL,L,6.116666666666666,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,0,0,-0.0999999999999999,2025-12-03,20251203_Nikola_Jović_MIA_DAL,20251203_DAL_MIA,,0
Nikola Vučević,CHI,BKN,L,33.38333333333333,6,18,0.333,1,6,0.167,3,4,0.75,3,8,11,0,2,0,6,2,16,5.099999999999998,2025-12-03,20251203_Nikola_Vučević_CHI_BKN,20251203_BKN_CHI,,0
Nique Clifford,SAC,HOU,L,22.78333333333333,1,7,0.143,0,3,0.0,0,0,0.0,0,0,0,2,1,1,0,3,2,-0.5999999999999999,2025-12-03,20251203_Nique_Clifford_SAC_HOU,20251203_HOU_SAC,,0
Noah Clowney,BKN,CHI,W,33.983333333333334,6,13,0.462,6,11,0.545,2,2,1.0,3,4,7,2,0,0,0,3,20,16.799999999999997,2025-12-03,20251203_Noah_Clowney_BKN_CHI,20251203_BKN_CHI,,1
Noah Penda,ORL,SAS,L,3.05,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,-1.8,2025-12-03,20251203_Noah_Penda_ORL_SAS,20251203_ORL_SAS,,0
Onyeka Okongwu,ATL,LAC,L,33.666666666666664,3,12,0.25,1,6,0.167,0,1,0.0,2,7,9,5,0,0,2,3,7,3.2,2025-12-03,20251203_Onyeka_Okongwu_ATL_LAC,20251203_ATL_LAC,,0
Pacôme Dadiet,NYK,CHA,W,0.2716666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2025-12-03,20251203_Pacôme_Dadiet_NYK_CHA,20251203_CHA_NYK,,1
Pascal Siakam,IND,DEN,L,33.7,7,16,0.438,3,5,0.6,6,8,0.75,0,3,3,4,0,0,1,5,23,14.5,2025-12-03,20251203_Pascal_Siakam_IND_DEN,20251203_DEN_IND,,0
Patrick Williams,CHI,BKN,L,23.28333333333333,3,7,0.429,2,3,0.667,2,2,1.0,0,3,3,0,3,0,1,2,10,8.399999999999999,2025-12-03,20251203_Patrick_Williams_CHI_BKN,20251203_BKN_CHI,,0
Paul Reed,DET,MIL,L,7.308333333333334,4,5,0.8,1,2,0.5,0,0,0.0,1,3,4,1,0,1,2,0,9,8.099999999999998,2025-12-03,20251203_Paul_Reed_DET_MIL,20251203_DET_MIL,,0
Pelle Larsson,MIA,DAL,L,22.8,1,5,0.2,0,4,0.0,2,3,0.667,0,0,0,3,0,0,0,2,4,1.8,2025-12-03,20251203_Pelle_Larsson_MIA_DAL,20251203_DAL_MIA,,0
Peyton Watson,DEN,IND,W,36.41666666666666,3,8,0.375,1,3,0.333,4,5,0.8,0,7,7,0,1,3,0,4,11,9.8,2025-12-03,20251203_Peyton_Watson_DEN_IND,20251203_DEN_IND,,1
Precious Achiuwa,SAC,HOU,L,18.59,4,8,0.5,0,1,0.0,2,4,0.5,2,2,4,0,2,0,1,2,10,7.399999999999999,2025-12-03,20251203_Precious_Achiuwa_SAC_HOU,20251203_HOU_SAC,,0
Rayan Rupert,POR,CLE,W,8.66,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-0.4,2025-12-03,20251203_Rayan_Rupert_POR_CLE,20251203_CLE_POR,,1
Reed Sheppard,HOU,SAC,W,27.773333333333333,2,7,0.286,1,2,0.5,0,0,0.0,0,6,6,1,1,2,1,1,5,4.4,2025-12-03,20251203_Reed_Sheppard_HOU_SAC,20251203_HOU_SAC,,1
Ronald Holland II,DET,MIL,L,17.251666666666665,2,10,0.2,0,3,0.0,1,1,1.0,0,2,2,0,1,0,1,1,5,-1.0000000000000002,2025-12-03,20251203_Ronald_Holland_II_DET_MIL,20251203_DET_MIL,,0
Russell Westbrook,SAC,HOU,L,28.016666666666666,5,13,0.385,2,7,0.286,0,2,0.0,1,3,4,9,1,0,4,3,12,7.800000000000001,2025-12-03,20251203_Russell_Westbrook_SAC_HOU,20251203_HOU_SAC,,0
Ryan Kalkbrenner,CHA,NYK,L,24.546666666666667,2,4,0.5,0,0,0.0,4,4,1.0,3,6,9,0,0,3,0,2,8,11.2,2025-12-03,20251203_Ryan_Kalkbrenner_CHA_NYK,20251203_CHA_NYK,,0
Ryan Nembhard,DAL,MIA,W,33.93666666666667,6,10,0.6,3,3,1.0,0,0,0.0,0,5,5,13,1,0,1,2,15,20.2,2025-12-03,20251203_Ryan_Nembhard_DAL_MIA,20251203_DAL_MIA,,1
Ryan Rollins,MIL,DET,W,38.8,9,16,0.563,1,6,0.167,3,3,1.0,0,4,4,8,2,0,3,4,22,18.6,2025-12-03,20251203_Ryan_Rollins_MIL_DET,20251203_DET_MIL,,1
Shaedon Sharpe,POR,CLE,W,32.166666666666664,7,18,0.389,2,5,0.4,4,6,0.667,2,7,9,5,2,0,2,2,20,15.599999999999998,2025-12-03,20251203_Shaedon_Sharpe_POR_CLE,20251203_CLE_POR,,1
Sidy Cissoko,POR,CLE,W,25.49,4,6,0.667,1,2,0.5,2,2,1.0,1,3,4,1,0,0,0,1,11,10.3,2025-12-03,20251203_Sidy_Cissoko_POR_CLE,20251203_CLE_POR,,1
Simone Fontecchio,MIA,DAL,L,21.05,2,8,0.25,2,7,0.286,2,2,1.0,0,3,3,2,1,1,1,0,8,6.200000000000002,2025-12-03,20251203_Simone_Fontecchio_MIA_DAL,20251203_DAL_MIA,,0
Sion James,CHA,NYK,L,30.42,3,6,0.5,2,5,0.4,3,3,1.0,0,1,1,0,0,2,0,2,11,8.9,2025-12-03,20251203_Sion_James_CHA_NYK,20251203_CHA_NYK,,0
Spencer Jones,DEN,IND,W,17.366666666666667,0,1,0.0,0,1,0.0,1,2,0.5,0,3,3,0,0,0,0,4,1,-0.8000000000000002,2025-12-03,20251203_Spencer_Jones_DEN_IND,20251203_DEN_IND,,1
Steven Adams,HOU,SAC,W,17.833333333333332,5,6,0.833,0,0,0.0,1,2,0.5,5,3,8,0,0,2,3,0,11,11.2,2025-12-03,20251203_Steven_Adams_HOU_SAC,20251203_HOU_SAC,,1
T.J. McConnell,IND,DEN,L,16.516666666666666,7,10,0.7,0,0,0.0,0,0,0.0,0,1,1,6,3,1,1,3,14,15.8,2025-12-03,20251203_T.J._McConnell_IND_DEN,20251203_DEN_IND,,0
Taelon Peter,IND,DEN,L,3.2,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-2.1,2025-12-03,20251203_Taelon_Peter_IND_DEN,20251203_DEN_IND,,0
Thomas Bryant,CLE,POR,L,13.213333333333331,4,6,0.667,3,4,0.75,3,4,0.75,0,6,6,0,0,2,0,3,14,13.0,2025-12-03,20251203_Thomas_Bryant_CLE_POR,20251203_CLE_POR,,0
Tidjane Salaün,CHA,NYK,L,23.006666666666668,5,8,0.625,3,5,0.6,0,0,0.0,0,4,4,0,1,0,3,2,13,7.799999999999999,2025-12-03,20251203_Tidjane_Salaün_CHA_NYK,20251203_CHA_NYK,,0
Tim Hardaway Jr.,DEN,IND,W,27.216666666666665,4,8,0.5,2,4,0.5,1,1,1.0,0,0,0,1,1,0,0,0,11,8.7,2025-12-03,20251203_Tim_Hardaway_Jr._DEN_IND,20251203_DEN_IND,,1
Tobias Harris,DET,MIL,L,29.016666666666666,7,14,0.5,5,8,0.625,1,2,0.5,1,4,5,0,0,0,0,0,20,14.5,2025-12-03,20251203_Tobias_Harris_DET_MIL,20251203_DET_MIL,,0
Tony Bradley,IND,DEN,L,13.616666666666667,1,2,0.5,0,0,0.0,5,6,0.833,2,2,4,0,0,1,1,2,7,6.499999999999999,2025-12-03,20251203_Tony_Bradley_IND_DEN,20251203_DEN_IND,,0
Toumani Camara,POR,CLE,W,35.093333333333334,5,7,0.714,3,5,0.6,4,5,0.8,1,5,6,4,0,2,2,4,17,16.499999999999996,2025-12-03,20251203_Toumani_Camara_POR_CLE,20251203_CLE_POR,,1
Trentyn Flowers,CHI,BKN,L,1.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2025-12-03,20251203_Trentyn_Flowers_CHI_BKN,20251203_BKN_CHI,,0
Trey Jemison III,NYK,CHA,W,0.2716666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,2025-12-03,20251203_Trey_Jemison_III_NYK_CHA,20251203_CHA_NYK,,1
Tristan da Silva,ORL,SAS,L,25.571666666666665,5,10,0.5,2,6,0.333,0,0,0.0,0,4,4,0,2,0,1,0,12,9.2,2025-12-03,20251203_Tristan_da_Silva_ORL_SAS,20251203_ORL_SAS,,0
Tyler Herro,MIA,DAL,L,33.11666666666667,8,17,0.471,2,7,0.286,2,2,1.0,1,3,4,0,2,0,2,0,20,12.9,2025-12-03,20251203_Tyler_Herro_MIA_DAL,20251203_DAL_MIA,,0
Tyler Kolek,NYK,CHA,W,13.28,2,5,0.4,2,3,0.667,0,0,0.0,2,1,3,5,0,1,1,0,6,8.2,2025-12-03,20251203_Tyler_Kolek_NYK_CHA,20251203_CHA_NYK,,1
Tyrese Martin,BKN,CHI,W,21.516666666666666,2,7,0.286,0,5,0.0,0,0,0.0,0,1,1,1,2,0,0,2,4,2.1000000000000005,2025-12-03,20251203_Tyrese_Martin_BKN_CHI,20251203_BKN_CHI,,1
Tyus Jones,ORL,SAS,L,6.75,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,5,4.7,2025-12-03,20251203_Tyus_Jones_ORL_SAS,20251203_ORL_SAS,,0
Vít Krejčí,ATL,LAC,L,21.25,2,7,0.286,1,6,0.167,0,0,0.0,0,3,3,1,1,1,3,2,5,0.4000000000000003,2025-12-03,20251203_Vít_Krejčí_ATL_LAC,20251203_ATL_LAC,,0
Wendell Carter Jr.,ORL,SAS,L,28.593333333333334,2,9,0.222,0,4,0.0,1,2,0.5,1,8,9,2,1,1,1,4,5,2.7,2025-12-03,20251203_Wendell_Carter_Jr._ORL_SAS,20251203_ORL_SAS,,0
Yang Hansen,POR,CLE,W,5.24,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,1,0,0,2,3.7,2025-12-03,20251203_Yang_Hansen_POR_CLE,20251203_CLE_POR,,1
Yanic Konan Niederhäuser,LAC,ATL,W,2.6,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.6,2025-12-03,20251203_Yanic_Konan_Niederhäuser_LAC_ATL,20251203_ATL_LAC,,1
Zaccharie Risacher,ATL,LAC,L,33.21666666666667,4,11,0.364,1,4,0.25,2,2,1.0,0,3,3,3,2,0,1,0,11,8.9,2025-12-03,20251203_Zaccharie_Risacher_ATL_LAC,20251203_ATL_LAC,,0
Zach LaVine,SAC,HOU,L,18.683333333333334,1,5,0.2,0,3,0.0,0,0,0.0,1,0,1,1,1,2,1,1,2,1.2999999999999998,2025-12-03,20251203_Zach_LaVine_SAC_HOU,20251203_HOU_SAC,,0
Zeke Nnaji,DEN,IND,W,11.583333333333334,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,1,1,2,2.6,2025-12-03,20251203_Zeke_Nnaji_DEN_IND,20251203_DEN_IND,,1
Ziaire Williams,BKN,CHI,W,25.466666666666665,3,7,0.429,2,5,0.4,0,0,0.0,0,4,4,1,0,1,2,2,8,4.1000000000000005,2025-12-03,20251203_Ziaire_Williams_BKN_CHI,20251203_BKN_CHI,,1
Ace Bailey,UTA,BKN,W,25.15,2,6,0.333,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,4,5,0.6000000000000005,2025-12-04,20251204_Ace_Bailey_UTA_BKN,20251204_BKN_UTA,,1
Adem Bona,PHI,GSW,W,5.983333333333333,1,2,0.5,0,0,0.0,0,2,0.0,2,0,2,0,0,0,0,0,2,1.6,2025-12-04,20251204_Adem_Bona_PHI_GSW,20251204_GSW_PHI,,1
Adou Thiero,LAL,TOR,W,10.133333333333333,1,1,1.0,0,0,0.0,2,3,0.667,1,0,1,1,1,0,0,0,4,5.7,2025-12-04,20251204_Adou_Thiero_LAL_TOR,20251204_LAL_TOR,,1
Al Horford,GSW,PHI,L,17.87,1,8,0.125,1,7,0.143,0,0,0.0,0,6,6,4,1,1,0,0,3,4.1,2025-12-04,20251204_Al_Horford_GSW_PHI,20251204_GSW_PHI,,0
Andre Drummond,PHI,GSW,W,16.573333333333334,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,0,0,1,0,0,0,1.0,2025-12-04,20251204_Andre_Drummond_PHI_GSW,20251204_GSW_PHI,,1
Anfernee Simons,BOS,WAS,W,25.453333333333333,4,13,0.308,4,8,0.5,4,4,1.0,0,2,2,3,2,0,0,2,16,12.4,2025-12-04,20251204_Anfernee_Simons_BOS_WAS,20251204_BOS_WAS,,1
Anthony Edwards,MIN,NOP,W,31.366666666666667,3,6,0.5,2,3,0.667,3,3,1.0,0,6,6,4,1,3,8,4,11,6.100000000000001,2025-12-04,20251204_Anthony_Edwards_MIN_NOP,20251204_MIN_NOP,,1
Anthony Gill,WAS,BOS,L,4.716666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,0,2,0.0,2025-12-04,20251204_Anthony_Gill_WAS_BOS,20251204_BOS_WAS,,0
Austin Reaves,LAL,TOR,W,40.8,13,21,0.619,5,11,0.455,13,15,0.867,0,5,5,10,0,0,5,3,44,36.0,2025-12-04,20251204_Austin_Reaves_LAL_TOR,20251204_LAL_TOR,,1
Baylor Scheierman,BOS,WAS,W,25.016666666666666,2,3,0.667,1,2,0.5,0,0,0.0,1,5,6,3,3,0,1,0,5,10.0,2025-12-04,20251204_Baylor_Scheierman_BOS_WAS,20251204_BOS_WAS,,1
Ben Saraf,BKN,UTA,L,23.9,4,7,0.571,1,3,0.333,3,3,1.0,1,1,2,2,3,1,5,1,12,9.4,2025-12-04,20251204_Ben_Saraf_BKN_UTA,20251204_BKN_UTA,,0
Brandin Podziemski,GSW,PHI,L,19.73333333333333,2,8,0.25,0,5,0.0,2,2,1.0,3,3,6,0,1,0,3,0,6,2.1999999999999997,2025-12-04,20251204_Brandin_Podziemski_GSW_PHI,20251204_GSW_PHI,,0
Brandon Ingram,TOR,LAL,L,36.32666666666667,10,23,0.435,0,6,0.0,0,0,0.0,3,4,7,7,0,1,3,1,20,13.400000000000002,2025-12-04,20251204_Brandon_Ingram_TOR_LAL,20251204_LAL_TOR,,0
Brice Sensabaugh,UTA,BKN,W,21.83333333333333,2,7,0.286,2,5,0.4,2,3,0.667,1,2,3,3,1,0,2,3,8,4.7,2025-12-04,20251204_Brice_Sensabaugh_UTA_BKN,20251204_BKN_UTA,,1
Bryce McGowens,NOP,MIN,L,33.9,5,12,0.417,0,3,0.0,5,6,0.833,0,3,3,5,1,0,0,0,15,13.6,2025-12-04,20251204_Bryce_McGowens_NOP_MIN,20251204_MIN_NOP,,0
Bub Carrington,WAS,BOS,L,27.55,2,9,0.222,2,6,0.333,1,2,0.5,1,2,3,2,0,0,1,1,7,2.4,2025-12-04,20251204_Bub_Carrington_WAS_BOS,20251204_BOS_WAS,,0
Buddy Hield,GSW,PHI,L,25.516666666666666,6,12,0.5,2,7,0.286,0,0,0.0,4,4,8,2,2,1,0,4,14,14.500000000000002,2025-12-04,20251204_Buddy_Hield_GSW_PHI,20251204_GSW_PHI,,0
CJ McCollum,WAS,BOS,L,30.546666666666667,7,15,0.467,3,8,0.375,5,5,1.0,1,1,2,3,1,1,4,4,22,13.499999999999996,2025-12-04,20251204_CJ_McCollum_WAS_BOS,20251204_BOS_WAS,,0
Cam Whitmore,WAS,BOS,L,18.08333333333333,2,11,0.182,0,4,0.0,0,0,0.0,0,0,0,2,1,2,0,1,4,0.5000000000000003,2025-12-04,20251204_Cam_Whitmore_WAS_BOS,20251204_BOS_WAS,,0
Cody Williams,UTA,BKN,W,8.166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-1.8,2025-12-04,20251204_Cody_Williams_UTA_BKN,20251204_BKN_UTA,,1
Collin Murray-Boyles,TOR,LAL,L,15.69,5,7,0.714,2,2,1.0,0,0,0.0,1,1,2,3,1,1,2,4,12,10.3,2025-12-04,20251204_Collin_Murray-Boyles_TOR_LAL,20251204_LAL_TOR,,0
Dalton Knecht,LAL,TOR,W,3.316666666666667,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,2.3000000000000003,2025-12-04,20251204_Dalton_Knecht_LAL_TOR,20251204_LAL_TOR,,1
Danny Wolf,BKN,UTA,L,28.016666666666666,5,12,0.417,3,8,0.375,4,4,1.0,1,8,9,3,0,0,2,0,17,13.8,2025-12-04,20251204_Danny_Wolf_BKN_UTA,20251204_BKN_UTA,,0
Day'Ron Sharpe,BKN,UTA,L,18.58333333333333,4,7,0.571,0,1,0.0,2,4,0.5,4,3,7,2,1,1,2,1,10,10.3,2025-12-04,20251204_Day'Ron_Sharpe_BKN_UTA,20251204_BKN_UTA,,0
De'Anthony Melton,GSW,PHI,L,21.051666666666662,5,11,0.455,0,2,0.0,4,4,1.0,0,1,1,3,2,1,1,3,14,11.2,2025-12-04,20251204_De'Anthony_Melton_GSW_PHI,20251204_GSW_PHI,,0
Deandre Ayton,LAL,TOR,W,31.65,8,11,0.727,0,0,0.0,1,1,1.0,3,5,8,0,0,2,2,1,17,15.1,2025-12-04,20251204_Deandre_Ayton_LAL_TOR,20251204_LAL_TOR,,1
Derik Queen,NOP,MIN,L,29.14,4,9,0.444,0,0,0.0,4,4,1.0,1,3,4,5,1,0,1,5,12,10.4,2025-12-04,20251204_Derik_Queen_NOP_MIN,20251204_MIN_NOP,,0
Derrick White,BOS,WAS,W,28.766666666666666,12,21,0.571,5,12,0.417,1,1,1.0,0,7,7,9,1,0,2,3,30,26.3,2025-12-04,20251204_Derrick_White_BOS_WAS,20251204_BOS_WAS,,1
Dominick Barlow,PHI,GSW,W,35.443333333333335,3,6,0.5,0,1,0.0,0,0,0.0,5,9,14,3,1,3,1,1,6,13.0,2025-12-04,20251204_Dominick_Barlow_PHI_GSW,20251204_GSW_PHI,,1
Donte DiVincenzo,MIN,NOP,W,32.07666666666667,5,10,0.5,4,8,0.5,1,1,1.0,1,3,4,3,0,1,1,4,15,11.8,2025-12-04,20251204_Donte_DiVincenzo_MIN_NOP,20251204_MIN_NOP,,1
Draymond Green,GSW,PHI,L,9.383333333333333,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,0,0,1,1,0,3,1.9000000000000004,2025-12-04,20251204_Draymond_Green_GSW_PHI,20251204_GSW_PHI,,0
Egor Dëmin,BKN,UTA,L,20.383333333333333,1,4,0.25,1,4,0.25,0,0,0.0,0,1,1,2,0,0,0,4,3,0.6999999999999997,2025-12-04,20251204_Egor_Dëmin_BKN_UTA,20251204_BKN_UTA,,0
Gabe Vincent,LAL,TOR,W,24.316666666666663,2,8,0.25,1,5,0.2,0,0,0.0,1,1,2,4,1,1,1,6,5,2.3,2025-12-04,20251204_Gabe_Vincent_LAL_TOR,20251204_LAL_TOR,,1
Gary Payton II,GSW,PHI,L,3.3666666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2025-12-04,20251204_Gary_Payton_II_GSW_PHI,20251204_GSW_PHI,,0
Gradey Dick,TOR,LAL,L,16.166666666666668,2,4,0.5,2,2,1.0,2,2,1.0,0,1,1,0,0,0,1,3,8,4.1000000000000005,2025-12-04,20251204_Gradey_Dick_TOR_LAL,20251204_LAL_TOR,,0
Gui Santos,GSW,PHI,L,11.646666666666668,2,4,0.5,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,3,4,1.7999999999999998,2025-12-04,20251204_Gui_Santos_GSW_PHI,20251204_GSW_PHI,,0
Hugo González,BOS,WAS,W,17.666666666666668,6,7,0.857,2,2,1.0,0,0,0.0,3,2,5,0,0,1,1,3,14,12.7,2025-12-04,20251204_Hugo_González_BOS_WAS,20251204_BOS_WAS,,1
Immanuel Quickley,TOR,LAL,L,32.01833333333333,5,9,0.556,2,4,0.5,1,1,1.0,0,1,1,5,2,0,5,3,13,8.3,2025-12-04,20251204_Immanuel_Quickley_TOR_LAL,20251204_LAL_TOR,,0
Isaiah Collier,UTA,BKN,W,14.65,1,3,0.333,0,0,0.0,1,2,0.5,0,1,1,3,0,0,2,2,3,0.5,2025-12-04,20251204_Isaiah_Collier_UTA_BKN,20251204_BKN_UTA,,1
Ja'Kobe Walter,TOR,LAL,L,24.78333333333333,6,10,0.6,3,6,0.5,2,3,0.667,2,1,3,2,1,0,0,1,17,15.699999999999998,2025-12-04,20251204_Ja'Kobe_Walter_TOR_LAL,20251204_LAL_TOR,,0
Jabari Walker,PHI,GSW,W,12.335,2,3,0.667,1,2,0.5,2,2,1.0,0,5,5,0,0,0,2,2,7,4.4,2025-12-04,20251204_Jabari_Walker_PHI_GSW,20251204_GSW_PHI,,1
Jaden McDaniels,MIN,NOP,W,34.8,6,14,0.429,0,2,0.0,2,2,1.0,2,5,7,5,2,2,2,4,14,12.8,2025-12-04,20251204_Jaden_McDaniels_MIN_NOP,20251204_MIN_NOP,,1
Jake LaRavia,LAL,TOR,W,28.216666666666665,5,8,0.625,2,3,0.667,2,2,1.0,3,4,7,0,2,1,2,3,14,13.2,2025-12-04,20251204_Jake_LaRavia_LAL_TOR,20251204_LAL_TOR,,1
Jalen Wilson,BKN,UTA,L,15.633333333333333,0,3,0.0,0,3,0.0,1,2,0.5,0,1,1,0,1,0,0,2,1,-0.9999999999999996,2025-12-04,20251204_Jalen_Wilson_BKN_UTA,20251204_BKN_UTA,,0
Jamal Shead,TOR,LAL,L,21.365,0,1,0.0,0,1,0.0,4,4,1.0,1,1,2,6,2,0,1,4,4,7.9,2025-12-04,20251204_Jamal_Shead_TOR_LAL,20251204_LAL_TOR,,0
Jamir Watkins,WAS,BOS,L,18.456666666666667,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,3,0,0,0,1,2,4.399999999999999,2025-12-04,20251204_Jamir_Watkins_WAS_BOS,20251204_BOS_WAS,,0
Jamison Battle,TOR,LAL,L,15.75,4,5,0.8,1,2,0.5,1,2,0.5,0,3,3,1,0,0,0,1,10,8.899999999999999,2025-12-04,20251204_Jamison_Battle_TOR_LAL,20251204_LAL_TOR,,0
Jared McCain,PHI,GSW,W,21.091666666666665,3,6,0.5,1,4,0.25,0,0,0.0,0,1,1,3,0,0,3,1,7,2.999999999999999,2025-12-04,20251204_Jared_McCain_PHI_GSW,20251204_GSW_PHI,,1
Jaxson Hayes,LAL,TOR,W,16.35,2,5,0.4,0,0,0.0,0,0,0.0,3,1,4,0,0,3,0,0,4,5.799999999999999,2025-12-04,20251204_Jaxson_Hayes_LAL_TOR,20251204_LAL_TOR,,1
Jaylen Clark,MIN,NOP,W,14.473333333333333,4,9,0.444,2,6,0.333,2,2,1.0,1,1,2,0,1,0,0,0,12,9.3,2025-12-04,20251204_Jaylen_Clark_MIN_NOP,20251204_MIN_NOP,,1
Jeremiah Fears,NOP,MIN,L,33.55,8,17,0.471,2,2,1.0,2,2,1.0,1,6,7,6,1,0,3,3,20,14.8,2025-12-04,20251204_Jeremiah_Fears_NOP_MIN,20251204_MIN_NOP,,0
Joel Embiid,PHI,GSW,W,25.216666666666665,5,13,0.385,0,5,0.0,2,2,1.0,0,6,6,3,0,1,3,1,12,6.1,2025-12-04,20251204_Joel_Embiid_PHI_GSW,20251204_GSW_PHI,,1
Jonathan Kuminga,GSW,PHI,L,20.09,4,12,0.333,1,2,0.5,0,2,0.0,1,5,6,2,0,0,3,0,9,2.000000000000001,2025-12-04,20251204_Jonathan_Kuminga_GSW_PHI,20251204_GSW_PHI,,0
