Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Ochai Agbaji,TOR,IND,W,5,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,0,-3.2,2025-11-26
Oso Ighodaro,PHX,SAC,W,15,4,4,1.0,0,0,,0,3,0.0,1,1,2,0,2,0,0,2,8,7.8,2025-11-26
Pacôme Dadiet,NYK,CHA,W,2,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,2025-11-26
Pascal Siakam,IND,TOR,L,31,5,10,0.5,0,0,,1,4,0.25,1,3,4,2,2,0,3,5,11,4.8,2025-11-26
Pat Spencer,GSW,HOU,L,6,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,2025-11-26
Payton Pritchard,BOS,DET,W,34,5,10,0.5,4,7,0.571,2,2,1.0,1,4,5,2,0,1,1,1,16,13.6,2025-11-26
Pelle Larsson,MIA,MIL,W,21,3,10,0.3,2,7,0.286,0,0,,1,2,3,3,1,1,2,0,8,5.3,2025-11-26
Precious Achiuwa,SAC,PHX,L,25,6,7,0.857,1,1,1.0,1,2,0.5,2,3,5,3,1,0,0,4,14,14.9,2025-11-26
Quinten Post,GSW,HOU,L,22,5,11,0.455,1,6,0.167,1,2,0.5,2,3,5,1,3,1,0,3,12,11.4,2025-11-26
Rayan Rupert,POR,SAS,L,9,0,1,0.0,0,0,,0,0,,0,2,2,0,1,1,1,1,0,0.2,2025-11-26
Reed Sheppard,HOU,GSW,W,37,12,25,0.48,4,12,0.333,3,4,0.75,2,7,9,5,1,2,2,1,31,24.9,2025-11-26
Rob Dillingham,MIN,OKC,L,12,2,7,0.286,1,1,1.0,1,2,0.5,0,1,1,2,0,0,0,1,6,2.8,2025-11-26
Robert Williams III,POR,SAS,L,20,5,6,0.833,0,1,0.0,0,2,0.0,0,5,5,1,1,4,0,1,10,12.6,2025-11-26
Ronald Holland II,DET,BOS,L,14,3,6,0.5,0,2,0.0,0,0,,1,0,1,1,2,0,0,0,6,6.4,2025-11-26
Royce O'Neale,PHX,SAC,W,32,3,9,0.333,3,9,0.333,0,0,,0,4,4,4,3,1,2,0,9,9.6,2025-11-26
Rudy Gobert,MIN,OKC,L,32,1,3,0.333,0,0,,3,8,0.375,3,9,12,3,0,3,1,4,5,7.7,2025-11-26
Russell Westbrook,SAC,PHX,L,31,8,13,0.615,3,5,0.6,0,0,,0,8,8,3,0,0,5,1,19,12.2,2025-11-26
Ryan Kalkbrenner,CHA,NYK,L,28,4,5,0.8,0,0,,0,1,0.0,3,3,6,0,1,0,1,0,8,8.7,2025-11-26
Ryan Rollins,MIL,MIA,L,41,11,24,0.458,4,14,0.286,0,1,0.0,1,6,7,5,1,0,4,2,26,15.4,2025-11-26
Saddiq Bey,NOP,MEM,L,39,6,13,0.462,4,9,0.444,2,2,1.0,2,8,10,2,3,1,0,1,18,19.8,2025-11-26
Sam Hauser,BOS,DET,W,17,2,4,0.5,1,3,0.333,0,0,,1,0,1,1,0,0,0,2,5,3.6,2025-11-26
Sandro Mamukelashvili,TOR,IND,W,16,3,8,0.375,0,2,0.0,1,1,1.0,0,3,3,0,0,0,0,2,7,2.7,2025-11-26
Santi Aldama,MEM,NOP,W,24,5,9,0.556,2,3,0.667,2,2,1.0,0,5,5,4,0,1,0,0,14,14.7,2025-11-26
Scottie Barnes,TOR,IND,W,36,5,12,0.417,0,1,0.0,14,14,1.0,5,5,10,4,0,1,4,3,24,20.9,2025-11-26
Shaedon Sharpe,POR,SAS,L,22,4,8,0.5,0,3,0.0,3,4,0.75,0,5,5,2,0,1,3,2,11,6.4,2025-11-26
Shai Gilgeous-Alexander,OKC,MIN,W,37,12,19,0.632,1,2,0.5,15,17,0.882,0,6,6,6,3,0,1,3,40,37.5,2025-11-26
Sidy Cissoko,POR,SAS,L,18,1,4,0.25,0,3,0.0,1,1,1.0,0,2,2,2,0,0,2,2,3,-0.2,2025-11-26
Simone Fontecchio,MIA,MIL,W,7,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,0,0,2,3.0,2025-11-26
Sion James,CHA,NYK,L,26,0,4,0.0,0,4,0.0,4,4,1.0,1,1,2,0,1,1,0,1,4,3.5,2025-11-26
Stephen Curry,GSW,HOU,L,33,4,13,0.308,2,9,0.222,4,4,1.0,1,5,6,5,0,2,7,4,14,5.0,2025-11-26
T.J. McConnell,IND,TOR,L,24,8,17,0.471,0,4,0.0,0,0,,1,6,7,6,0,0,2,1,16,11.6,2025-11-26
Terrence Shannon Jr.,MIN,OKC,L,17,7,7,1.0,3,3,1.0,1,2,0.5,0,2,2,1,0,0,0,3,18,15.6,2025-11-26
Tobias Harris,DET,BOS,L,27,4,8,0.5,1,5,0.2,3,3,1.0,0,4,4,3,0,2,0,2,12,11.9,2025-11-26
Toumani Camara,POR,SAS,L,30,4,14,0.286,2,11,0.182,0,0,,1,4,5,1,0,1,1,4,10,2.5,2025-11-26
Tre Mann,CHA,NYK,L,21,6,13,0.462,3,7,0.429,0,0,,1,2,3,3,0,0,2,2,15,8.9,2025-11-26
Trey Murphy III,NOP,MEM,L,38,5,12,0.417,2,6,0.333,0,0,,0,4,4,6,2,0,3,3,12,8.8,2025-11-26
Tyler Herro,MIA,MIL,W,32,9,15,0.6,3,5,0.6,8,8,1.0,2,3,5,7,1,1,2,0,29,29.0,2025-11-26
Tyler Kolek,NYK,CHA,W,15,3,4,0.75,1,1,1.0,0,0,,0,0,0,3,0,0,1,0,7,6.5,2025-11-26
Vince Williams Jr.,MEM,NOP,W,35,2,6,0.333,0,3,0.0,1,2,0.5,2,2,4,17,2,1,6,1,5,11.4,2025-11-26
Will Richard,GSW,HOU,L,28,7,12,0.583,2,7,0.286,2,2,1.0,3,3,6,0,2,0,0,4,18,15.8,2025-11-26
Yang Hansen,POR,SAS,L,1,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,2025-11-26
Yves Missi,NOP,MEM,L,29,3,6,0.5,0,0,,0,0,,3,3,6,3,0,3,1,2,6,8.4,2025-11-26
Zach Edey,MEM,NOP,W,35,10,15,0.667,0,1,0.0,1,1,1.0,5,10,15,0,1,2,2,3,21,20.2,2025-11-26
Zach LaVine,SAC,PHX,L,32,5,14,0.357,1,6,0.167,2,2,1.0,1,1,2,2,1,0,6,2,13,1.8,2025-11-26
Zion Williamson,NOP,MEM,L,32,7,15,0.467,0,1,0.0,3,3,1.0,2,3,5,4,0,2,5,3,17,9.6,2025-11-26
AJ Green,MIL,NYK,L,39,6,12,0.5,6,12,0.5,0,0,,0,5,5,1,2,0,2,2,18,13.4,2025-11-28
AJ Johnson,WAS,IND,L,6,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,0,0,-1.4,2025-11-28
Ace Bailey,UTA,SAC,W,17,2,5,0.4,1,2,0.5,0,0,,0,4,4,2,1,0,0,2,5,5.1,2025-11-28
Adem Bona,PHI,BKN,W,23,6,7,0.857,1,1,1.0,0,0,,2,4,6,0,0,3,2,4,13,11.6,2025-11-28
Ajay Mitchell,OKC,PHX,W,5,0,3,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,0,-2.4,2025-11-28
Alex Caruso,OKC,PHX,W,24,2,3,0.667,0,0,,0,0,,1,6,7,3,2,1,4,4,4,4.4,2025-11-28
Alex Sarr,WAS,IND,L,33,8,19,0.421,1,4,0.25,7,12,0.583,2,7,9,1,2,2,1,1,24,18.1,2025-11-28
Andre Drummond,PHI,BKN,W,11,2,2,1.0,1,1,1.0,2,2,1.0,2,2,4,1,0,1,0,0,7,9.8,2025-11-28
Anthony Black,ORL,DET,W,32,6,17,0.353,1,4,0.25,3,6,0.5,0,4,4,4,3,1,3,2,16,9.2,2025-11-28
Anthony Davis,DAL,LAL,L,28,6,10,0.6,0,1,0.0,0,0,,2,3,5,5,0,3,0,2,12,14.5,2025-11-28
Ausar Thompson,DET,ORL,L,23,3,7,0.429,0,0,,2,4,0.5,4,3,7,2,1,0,3,5,8,4.6,2025-11-28
Austin Reaves,LAL,DAL,W,41,12,15,0.8,6,8,0.75,8,9,0.889,1,7,8,3,0,0,1,2,38,35.0,2025-11-28
Ayo Dosunmu,CHI,CHA,L,23,2,7,0.286,1,2,0.5,0,0,,1,1,2,2,0,0,1,2,5,1.5,2025-11-28
Ben Sheppard,IND,WAS,W,29,3,5,0.6,3,4,0.75,0,0,,1,2,3,5,1,0,2,2,9,9.7,2025-11-28
Bennedict Mathurin,IND,WAS,W,34,8,16,0.5,3,5,0.6,1,1,1.0,0,2,2,4,1,0,3,1,20,13.0,2025-11-28
Bilal Coulibaly,WAS,IND,L,31,4,9,0.444,2,5,0.4,1,2,0.5,0,4,4,2,1,1,4,4,11,4.6,2025-11-28
Bobby Portis,MIL,NYK,L,18,1,7,0.143,1,4,0.25,0,0,,0,3,3,2,0,0,2,2,3,-2.0,2025-11-28
Brandon Miller,CHA,CHI,W,32,10,19,0.526,5,11,0.455,2,3,0.667,1,4,5,1,0,3,1,0,27,21.0,2025-11-28
Brandon Williams,DAL,LAL,L,24,3,11,0.273,1,3,0.333,4,6,0.667,0,2,2,3,1,0,1,4,11,4.8,2025-11-28
Brice Sensabaugh,UTA,SAC,W,28,6,11,0.545,2,5,0.4,6,8,0.75,1,2,3,0,1,1,2,2,20,14.1,2025-11-28
Bruce Brown,DEN,SAS,L,19,1,8,0.125,0,2,0.0,1,2,0.5,1,3,4,1,0,0,0,1,3,-0.7,2025-11-28
Bub Carrington,WAS,IND,L,27,2,8,0.25,2,6,0.333,0,0,,2,5,7,3,0,0,1,1,6,4.8,2025-11-28
CJ McCollum,WAS,IND,L,30,5,13,0.385,1,5,0.2,0,0,,0,1,1,2,2,0,0,1,11,7.2,2025-11-28
Cade Cunningham,DET,ORL,L,40,13,26,0.5,4,7,0.571,9,12,0.75,4,9,13,11,0,0,8,2,39,29.2,2025-11-28
Caleb Martin,DAL,LAL,L,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-11-28
Cam Spencer,MEM,LAC,W,25,4,9,0.444,2,5,0.4,0,0,,0,2,2,4,1,1,4,1,10,6.0,2025-11-28
Cam Whitmore,WAS,IND,L,16,3,6,0.5,0,2,0.0,2,2,1.0,2,1,3,0,0,1,2,2,8,4.6,2025-11-28
Cameron Johnson,DEN,SAS,L,38,10,16,0.625,6,9,0.667,2,2,1.0,2,4,6,1,2,1,3,3,28,22.6,2025-11-28
Caris LeVert,DET,ORL,L,24,2,7,0.286,1,2,0.5,2,2,1.0,0,1,1,0,1,1,0,1,7,4.5,2025-11-28
Carter Bryant,SAS,DEN,W,6,1,3,0.333,1,2,0.5,0,0,,0,2,2,0,1,0,0,1,3,2.5,2025-11-28
Cason Wallace,OKC,PHX,W,32,6,9,0.667,2,3,0.667,0,0,,0,4,4,3,1,0,0,0,14,14.4,2025-11-28
Cedric Coward,MEM,LAC,W,31,3,10,0.3,1,4,0.25,0,0,,0,4,4,1,0,0,2,3,7,-0.1,2025-11-28
Chet Holmgren,OKC,PHX,W,32,8,13,0.615,2,5,0.4,5,6,0.833,1,7,8,1,0,0,0,2,23,19.4,2025-11-28
Chris Paul,LAC,MEM,L,15,2,4,0.5,1,1,1.0,0,0,,0,2,2,0,0,0,1,2,5,1.8,2025-11-28
Coby White,CHI,CHA,L,29,11,23,0.478,1,6,0.167,2,3,0.667,1,1,2,4,0,0,0,3,25,15.5,2025-11-28
Cole Anthony,MIL,NYK,L,7,3,3,1.0,0,0,,1,3,0.333,0,0,0,2,1,0,1,3,7,5.5,2025-11-28
Collin Gillespie,PHX,OKC,L,33,9,16,0.563,6,11,0.545,0,0,,1,2,3,4,1,0,4,1,24,17.1,2025-11-28
Collin Sexton,CHA,CHI,W,26,8,15,0.533,1,4,0.25,4,4,1.0,2,2,4,3,1,2,1,3,21,18.0,2025-11-28
Cooper Flagg,DAL,LAL,L,36,5,11,0.455,1,3,0.333,2,2,1.0,1,6,7,11,3,0,1,4,13,17.9,2025-11-28
Daniel Gafford,DAL,LAL,L,17,2,3,0.667,0,0,,1,2,0.5,2,2,4,0,1,0,2,1,5,3.9,2025-11-28
Daniss Jenkins,DET,ORL,L,8,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,-0.4,2025-11-28
Danny Wolf,BKN,PHI,L,13,0,2,0.0,0,1,0.0,5,6,0.833,1,4,5,1,0,0,0,2,5,5.0,2025-11-28
Darius Garland,CLE,ATL,L,33,6,14,0.429,1,3,0.333,2,2,1.0,1,4,5,10,1,0,5,2,15,11.7,2025-11-28
Day'Ron Sharpe,BKN,PHI,L,10,1,4,0.25,1,1,1.0,0,0,,2,1,3,0,0,0,2,2,3,-0.5,2025-11-28
De'Aaron Fox,SAS,DEN,W,34,6,19,0.316,1,6,0.167,2,3,0.667,0,1,1,12,1,1,3,0,15,11.1,2025-11-28
De'Andre Hunter,CLE,ATL,L,32,6,9,0.667,2,4,0.5,2,2,1.0,0,4,4,1,2,0,3,4,16,11.4,2025-11-28
DeMar DeRozan,SAC,UTA,L,36,5,10,0.5,1,1,1.0,5,5,1.0,0,2,2,3,1,0,2,2,16,11.9,2025-11-28
Dean Wade,CLE,ATL,L,19,1,3,0.333,1,2,0.5,2,2,1.0,2,1,3,1,0,0,0,1,5,5.3,2025-11-28
Deandre Ayton,LAL,DAL,W,36,8,9,0.889,0,0,,1,2,0.5,2,6,8,2,1,2,2,1,17,18.1,2025-11-28
Desmond Bane,ORL,DET,W,39,13,25,0.52,0,5,0.0,11,12,0.917,3,5,8,2,1,2,2,4,37,28.1,2025-11-28
Devin Booker,PHX,OKC,L,39,5,13,0.385,2,7,0.286,9,11,0.818,2,6,8,6,1,1,5,5,21,15.2,2025-11-28
Devin Vassell,SAS,DEN,W,31,12,17,0.706,7,9,0.778,4,4,1.0,1,2,3,2,1,0,0,4,35,30.0,2025-11-28
Dillon Brooks,PHX,OKC,L,39,6,18,0.333,2,9,0.222,5,5,1.0,1,2,3,2,2,0,3,5,19,8.5,2025-11-28
Dominick Barlow,PHI,BKN,W,25,4,7,0.571,0,1,0.0,2,2,1.0,1,9,10,4,0,1,1,4,10,11.0,2025-11-28
Donovan Mitchell,CLE,ATL,L,35,15,28,0.536,7,15,0.467,5,5,1.0,0,3,3,3,1,0,4,3,42,27.2,2025-11-28
Drake Powell,BKN,PHI,L,21,1,2,0.5,0,0,,2,2,1.0,0,1,1,1,0,0,1,2,4,2.2,2025-11-28
Drew Eubanks,SAC,UTA,L,13,1,3,0.333,0,0,,0,0,,2,2,4,0,0,1,1,0,2,2.0,2025-11-28
Duncan Robinson,DET,ORL,L,35,3,12,0.25,3,11,0.273,0,1,0.0,0,1,1,3,3,0,0,2,9,6.0,2025-11-28
Dwight Powell,DAL,LAL,L,1,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,2025-11-28
Dylan Harper,SAS,DEN,W,15,4,7,0.571,0,1,0.0,3,4,0.75,0,0,0,3,3,0,0,0,11,12.4,2025-11-28
Dyson Daniels,ATL,CLE,W,37,5,8,0.625,0,0,,0,2,0.0,2,6,8,9,3,0,2,2,10,15.3,2025-11-28
Egor Dëmin,BKN,PHI,L,30,8,18,0.444,5,14,0.357,2,2,1.0,1,8,9,5,1,2,3,0,23,19.6,2025-11-28
Evan Mobley,CLE,ATL,L,34,7,17,0.412,3,6,0.5,3,3,1.0,4,10,14,7,2,2,2,2,20,22.2,2025-11-28
Franz Wagner,ORL,DET,W,36,8,19,0.421,0,3,0.0,5,6,0.833,3,4,7,1,3,0,1,5,21,14.5,2025-11-28
Gabe Vincent,LAL,DAL,W,23,2,3,0.667,2,3,0.667,0,0,,0,0,0,3,0,0,0,4,6,5.2,2025-11-28
Garrison Mathews,IND,WAS,W,22,2,7,0.286,2,7,0.286,3,3,1.0,0,1,1,0,1,1,1,1,9,5.5,2025-11-28
Gary Harris,MIL,NYK,L,24,1,2,0.5,1,2,0.5,2,2,1.0,0,0,0,0,0,0,2,1,5,1.6,2025-11-28
Gary Trent Jr.,MIL,NYK,L,25,1,4,0.25,1,4,0.25,0,0,,0,0,0,1,0,0,0,3,3,0.1,2025-11-28
Giannis Antetokounmpo,MIL,NYK,L,28,10,14,0.714,0,2,0.0,10,14,0.714,2,13,15,8,1,0,3,5,30,29.5,2025-11-28
Goga Bitadze,ORL,DET,W,14,2,2,1.0,0,0,,0,0,,3,0,3,0,1,1,0,4,4,5.6,2025-11-28
Guerschon Yabusele,NYK,MIL,W,6,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,1,0,3,2.0,2025-11-28
Harrison Barnes,SAS,DEN,W,31,4,11,0.364,1,6,0.167,1,1,1.0,2,1,3,5,1,0,2,5,10,6.1,2025-11-28
Isaiah Collier,UTA,SAC,W,24,2,4,0.5,0,1,0.0,5,8,0.625,1,0,1,7,0,2,1,0,9,11.8,2025-11-28
Isaiah Jackson,IND,WAS,W,18,5,7,0.714,0,0,,0,0,,1,1,2,0,2,0,0,3,10,8.9,2025-11-28
Isaiah Joe,OKC,PHX,W,24,4,9,0.444,2,5,0.4,0,0,,1,3,4,2,0,0,0,2,10,7.5,2025-11-28
Isaiah Stewart,DET,ORL,L,14,2,3,0.667,1,1,1.0,3,3,1.0,1,5,6,1,0,0,3,5,8,4.6,2025-11-28
Ivica Zubac,LAC,MEM,L,39,4,11,0.364,0,0,,1,1,1.0,3,9,12,5,0,2,2,3,9,9.4,2025-11-28
Jabari Walker,PHI,BKN,W,12,2,3,0.667,0,1,0.0,0,0,,1,1,2,1,0,1,0,5,4,3.1,2025-11-28
Jaden Hardy,DAL,LAL,L,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-11-28
Jaden Ivey,DET,ORL,L,10,1,2,0.5,1,1,1.0,0,0,,0,0,0,0,0,0,3,2,3,-1.8,2025-11-28
Jake LaRavia,LAL,DAL,W,14,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-0.8,2025-11-28
Jalen Brunson,NYK,MIL,W,39,12,21,0.571,4,6,0.667,9,10,0.9,1,0,1,5,1,0,3,2,37,28.1,2025-11-28
Jalen Duren,DET,ORL,L,31,5,8,0.625,0,0,,6,6,1.0,2,10,12,2,1,4,5,3,16,15.8,2025-11-28
Jalen Johnson,ATL,CLE,W,39,9,18,0.5,3,7,0.429,8,12,0.667,3,9,12,12,2,0,3,1,29,30.2,2025-11-28
Jalen Smith,CHI,CHA,L,17,3,5,0.6,0,2,0.0,0,0,,1,4,5,0,0,0,2,0,6,3.6,2025-11-28
Jalen Suggs,ORL,DET,W,34,4,17,0.235,2,11,0.182,4,4,1.0,0,4,4,1,4,1,2,1,14,7.9,2025-11-28
Jalen Williams,OKC,PHX,W,29,3,12,0.25,1,1,1.0,4,4,1.0,0,4,4,8,2,1,1,4,11,10.7,2025-11-28
Jalen Wilson,BKN,PHI,L,10,0,4,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,0,0,0,-2.1,2025-11-28
Jamal Murray,DEN,SAS,L,36,13,20,0.65,5,8,0.625,6,7,0.857,1,3,4,7,0,1,2,4,37,31.4,2025-11-28
Jamaree Bouyea,PHX,OKC,L,14,4,6,0.667,1,3,0.333,0,0,,0,2,2,0,0,0,0,1,9,6.6,2025-11-28
James Harden,LAC,MEM,L,40,6,18,0.333,4,13,0.308,7,7,1.0,1,6,7,11,2,0,5,5,23,18.0,2025-11-28
Jarace Walker,IND,WAS,W,23,3,9,0.333,0,4,0.0,4,5,0.8,0,7,7,1,0,1,1,1,10,6.6,2025-11-28
Jared McCain,PHI,BKN,W,29,7,16,0.438,4,10,0.4,2,2,1.0,1,3,4,1,5,0,0,1,20,18.5,2025-11-28
Jaren Jackson Jr.,MEM,LAC,W,31,9,13,0.692,3,5,0.6,3,4,0.75,1,1,2,2,0,0,2,3,24,17.3,2025-11-28
Jarrett Allen,CLE,ATL,L,28,3,6,0.5,0,0,,2,2,1.0,3,5,8,1,0,1,2,1,8,7.6,2025-11-28
Javonte Green,DET,ORL,L,10,0,2,0.0,0,1,0.0,0,0,,1,1,2,0,1,2,1,2,0,0.2,2025-11-28
Jaxson Hayes,LAL,DAL,W,12,3,4,0.75,0,0,,0,0,,0,2,2,1,0,1,1,3,6,4.2,2025-11-28
Jay Huff,IND,WAS,W,22,5,6,0.833,2,3,0.667,0,0,,4,2,6,2,0,4,2,3,12,14.2,2025-11-28
Jaylen Wells,MEM,LAC,W,28,2,7,0.286,1,6,0.167,8,8,1.0,3,3,6,2,1,0,1,3,13,12.1,2025-11-28
Jaylin Williams,OKC,PHX,W,21,5,8,0.625,3,6,0.5,1,1,1.0,0,4,4,0,0,0,2,3,14,8.4,2025-11-28
Jaylon Tyson,CLE,ATL,L,21,3,10,0.3,1,3,0.333,2,4,0.5,1,1,2,1,3,0,0,0,9,7.1,2025-11-28
Jeremiah Robinson-Earl,IND,WAS,W,26,1,7,0.143,1,4,0.25,0,0,,2,9,11,4,1,0,1,0,3,5.4,2025-11-28
Jeremy Sochan,SAS,DEN,W,16,2,4,0.5,0,1,0.0,0,0,,1,0,1,2,1,0,0,5,4,3.1,2025-11-28
Jevon Carter,CHI,CHA,L,10,1,2,0.5,0,1,0.0,0,0,,0,0,0,2,0,0,0,2,2,1.6,2025-11-28
Jock Landale,MEM,LAC,W,16,4,11,0.364,2,4,0.5,2,4,0.5,3,3,6,0,0,0,1,1,12,6.7,2025-11-28
John Collins,LAC,MEM,L,33,4,12,0.333,0,4,0.0,2,2,1.0,2,5,7,0,0,1,1,4,10,4.2,2025-11-28
John Konchar,MEM,LAC,W,11,0,0,,0,0,,0,0,,0,2,2,2,1,1,0,1,0,3.3,2025-11-28
Johni Broome,PHI,BKN,W,7,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,3,2,0.8,2025-11-28
Jonas Valančiūnas,DEN,SAS,L,12,2,3,0.667,0,0,,0,0,,2,6,8,1,0,0,1,1,4,5.2,2025-11-28
Jonathan Isaac,ORL,DET,W,14,2,3,0.667,0,0,,0,0,,2,1,3,0,0,1,0,1,4,4.7,2025-11-28
Jordan Clarkson,NYK,MIL,W,22,2,13,0.154,0,5,0.0,2,2,1.0,3,1,4,3,0,0,1,1,6,0.8,2025-11-28
Jordan Goodwin,PHX,OKC,L,26,5,13,0.385,1,5,0.2,3,4,0.75,2,3,5,2,1,0,1,1,14,9.8,2025-11-28
Josh Giddey,CHI,CHA,L,33,8,16,0.5,3,7,0.429,6,7,0.857,0,11,11,9,1,0,0,1,25,26.8,2025-11-28
Josh Hart,NYK,MIL,W,40,5,12,0.417,0,4,0.0,9,10,0.9,2,13,15,7,3,0,3,4,19,20.8,2025-11-28
Julian Champagnie,SAS,DEN,W,36,6,15,0.4,3,9,0.333,10,10,1.0,3,7,10,2,1,2,0,3,25,23.7,2025-11-28
Julian Phillips,CHI,CHA,L,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,2025-11-28
Justin Champagnie,WAS,IND,L,11,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,1,0,0,0,0,0.9,2025-11-28
Justin Edwards,PHI,BKN,W,16,1,7,0.143,1,4,0.25,1,2,0.5,0,0,0,1,2,0,1,1,4,0.4,2025-11-28
Jusuf Nurkić,UTA,SAC,W,27,4,8,0.5,0,0,,1,2,0.5,2,9,11,9,3,0,3,5,9,13.0,2025-11-28
Karl-Anthony Towns,NYK,MIL,W,36,2,8,0.25,1,2,0.5,4,5,0.8,3,7,10,4,0,1,2,4,9,7.9,2025-11-28
Kawhi Leonard,LAC,MEM,L,29,15,24,0.625,3,7,0.429,6,6,1.0,0,3,3,0,1,0,1,0,39,29.1,2025-11-28
Keaton Wallace,ATL,CLE,W,9,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,0,1,0,0.3,2025-11-28
Keegan Murray,SAC,UTA,L,45,9,18,0.5,1,6,0.167,4,4,1.0,3,7,10,3,3,1,0,2,23,23.2,2025-11-28
Keldon Johnson,SAS,DEN,W,22,4,7,0.571,2,5,0.4,4,4,1.0,1,7,8,2,0,0,1,2,14,13.1,2025-11-28
Kelly Olynyk,SAS,DEN,W,13,2,3,0.667,1,2,0.5,2,2,1.0,1,0,1,0,1,0,1,3,7,5.2,2025-11-28
Kenrich Williams,OKC,PHX,W,7,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,0,0,0,1,3,1.9,2025-11-28
Kentavious Caldwell-Pope,MEM,LAC,W,21,4,10,0.4,4,7,0.571,0,0,,1,3,4,1,1,0,1,0,12,8.9,2025-11-28
Keon Ellis,SAC,UTA,L,7,0,2,0.0,0,2,0.0,2,4,0.5,0,0,0,0,0,0,0,2,2,-1.0,2025-11-28
Kevin Huerter,CHI,CHA,L,25,4,8,0.5,1,4,0.25,2,2,1.0,0,2,2,4,0,0,0,1,11,10.0,2025-11-28
Kevin Love,UTA,SAC,W,17,3,5,0.6,2,3,0.667,1,2,0.5,4,3,7,1,1,1,0,1,9,12.0,2025-11-28
Keyonte George,UTA,SAC,W,36,10,19,0.526,4,9,0.444,7,9,0.778,0,5,5,6,0,1,3,5,31,22.3,2025-11-28
Khris Middleton,WAS,IND,L,26,6,10,0.6,0,1,0.0,0,0,,2,4,6,4,0,1,4,3,12,8.3,2025-11-28
Klay Thompson,DAL,LAL,L,20,3,8,0.375,3,6,0.5,1,1,1.0,0,1,1,1,0,0,1,2,10,4.8,2025-11-28
Kobe Brown,LAC,MEM,L,16,2,7,0.286,1,6,0.167,0,0,,0,0,0,0,2,0,0,2,5,2.1,2025-11-28
Kobe Sanders,LAC,MEM,L,14,1,4,0.25,1,2,0.5,0,0,,0,0,0,2,1,0,0,1,3,2.6,2025-11-28
Kon Knueppel,CHA,CHI,W,32,5,14,0.357,2,9,0.222,0,0,,0,5,5,4,1,0,1,5,12,6.5,2025-11-28
Kris Dunn,LAC,MEM,L,30,4,9,0.444,2,5,0.4,1,2,0.5,2,5,7,1,5,0,2,1,11,12.1,2025-11-28
Kyle Filipowski,UTA,SAC,W,21,2,4,0.5,1,2,0.5,3,3,1.0,2,5,7,2,0,0,0,3,8,9.1,2025-11-28
Kyle Kuzma,MIL,NYK,L,28,8,9,0.889,4,5,0.8,0,2,0.0,0,4,4,3,2,0,2,1,20,19.0,2025-11-28
Kyle Lowry,PHI,BKN,W,11,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,2025-11-28
Kyshawn George,WAS,IND,L,27,2,6,0.333,1,3,0.333,0,0,,0,3,3,4,0,0,2,3,5,2.1,2025-11-28
LaMelo Ball,CHA,CHI,W,29,6,19,0.316,3,10,0.3,1,2,0.5,1,6,7,8,2,0,2,2,16,12.0,2025-11-28
Larry Nance Jr.,CLE,ATL,L,10,0,1,0.0,0,1,0.0,0,0,,2,1,3,1,0,0,0,2,0,0.9,2025-11-28
Lauri Markkanen,UTA,SAC,W,39,9,23,0.391,2,13,0.154,8,8,1.0,1,6,7,2,0,0,1,2,28,17.6,2025-11-28
LeBron James,LAL,DAL,W,34,5,13,0.385,2,6,0.333,1,4,0.25,1,4,5,7,1,0,2,1,13,10.1,2025-11-28
Liam McNeeley,CHA,CHI,W,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-11-28
Lindy Waters III,SAS,DEN,W,8,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,2.7,2025-11-28
Lonzo Ball,CLE,ATL,L,17,1,4,0.25,1,4,0.25,0,0,,1,4,5,4,0,0,1,0,3,4.3,2025-11-28
