Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Chris Paul,LAC,PHX,W,20,0,1,0.0,0,1,0.0,0,0,,2,1,3,8,3,0,2,3,0,6.4,2025-10-24
Christian Koloko,LAL,MIN,W,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,2025-10-24
Clint Capela,HOU,DET,L,4,1,1,1.0,0,0,,0,0,,2,2,4,0,0,0,0,0,2,3.7,2025-10-24
Cole Anthony,MIL,TOR,W,27,9,14,0.643,2,5,0.4,3,7,0.429,2,2,4,7,2,0,1,3,23,21.9,2025-10-24
Collin Gillespie,PHX,LAC,L,28,5,12,0.417,3,8,0.375,0,0,,1,4,5,5,1,1,3,1,13,10.3,2025-10-24
Cooper Flagg,DAL,WAS,L,35,6,14,0.429,2,5,0.4,4,4,1.0,1,4,5,6,1,1,5,3,18,12.2,2025-10-24
Corey Kispert,WAS,DAL,W,21,3,5,0.6,1,3,0.333,0,1,0.0,0,4,4,4,0,0,0,3,7,7.1,2025-10-24
Craig Porter Jr.,CLE,BKN,W,14,6,6,1.0,2,2,1.0,0,0,,0,2,2,2,1,0,0,0,14,15.2,2025-10-24
D'Angelo Russell,DAL,WAS,L,8,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,3,0,0,0,0,1,1.2,2025-10-24
Dalton Knecht,LAL,MIN,W,7,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,0,-0.8,2025-10-24
Daniss Jenkins,DET,HOU,W,5,1,3,0.333,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,5,3.3,2025-10-24
Dario Šarić,SAC,UTA,W,16,1,2,0.5,1,2,0.5,2,2,1.0,0,2,2,2,0,0,0,0,5,6.0,2025-10-24
Davion Mitchell,MIA,MEM,W,21,1,2,0.5,0,1,0.0,0,0,,0,1,1,6,0,0,3,2,2,1.7,2025-10-24
Day'Ron Sharpe,BKN,CLE,L,14,1,2,0.5,0,0,,0,0,,0,2,2,3,1,0,2,3,2,1.5,2025-10-24
DeMar DeRozan,SAC,UTA,W,37,3,9,0.333,0,0,,1,1,1.0,0,3,3,6,2,0,1,1,7,7.6,2025-10-24
Dean Wade,CLE,BKN,W,27,2,7,0.286,1,6,0.167,1,1,1.0,1,5,6,1,0,0,0,2,6,4.0,2025-10-24
Deandre Ayton,LAL,MIN,W,31,7,11,0.636,0,0,,1,2,0.5,3,5,8,0,0,1,2,3,15,10.8,2025-10-24
Deni Avdija,POR,GSW,W,29,11,18,0.611,4,6,0.667,0,0,,2,3,5,6,0,0,3,4,26,19.7,2025-10-24
Dennis Schröder,SAC,UTA,W,33,8,16,0.5,1,5,0.2,0,0,,0,5,5,3,2,0,4,1,17,10.2,2025-10-24
Dereck Lively II,DAL,WAS,L,19,4,5,0.8,0,0,,0,0,,2,4,6,2,2,1,2,1,8,10.4,2025-10-24
Derik Queen,NOP,SAS,L,35,6,11,0.545,0,1,0.0,3,4,0.75,1,5,6,1,1,2,1,6,15,11.2,2025-10-24
Derrick Jones Jr.,LAC,PHX,W,23,6,6,1.0,5,5,1.0,0,0,,1,3,4,2,1,1,0,2,17,19.1,2025-10-24
Derrick White,BOS,NYK,L,33,5,18,0.278,3,11,0.273,2,3,0.667,1,3,4,4,1,0,1,3,15,7.2,2025-10-24
Desmond Bane,ORL,ATL,L,33,5,14,0.357,1,7,0.143,4,5,0.8,2,5,7,5,0,0,3,2,15,9.4,2025-10-24
Devin Booker,PHX,LAC,L,28,5,10,0.5,1,4,0.25,7,7,1.0,0,3,3,7,0,0,3,2,18,15.0,2025-10-24
Devin Vassell,SAS,NOP,W,40,8,19,0.421,6,14,0.429,1,2,0.5,1,4,5,1,1,0,4,4,23,10.5,2025-10-24
Dillon Brooks,PHX,LAC,L,27,7,17,0.412,5,10,0.5,2,2,1.0,3,0,3,2,2,0,4,5,21,11.4,2025-10-24
Domantas Sabonis,SAC,UTA,W,37,6,9,0.667,0,1,0.0,0,1,0.0,3,9,12,1,0,0,2,3,12,10.0,2025-10-24
Donovan Clingan,POR,GSW,W,22,4,6,0.667,1,2,0.5,5,5,1.0,4,4,8,2,0,1,0,4,14,15.9,2025-10-24
Donovan Mitchell,CLE,BKN,W,35,10,15,0.667,6,10,0.6,9,12,0.75,0,2,2,5,3,0,3,3,35,30.2,2025-10-24
Donte DiVincenzo,MIN,LAL,L,28,4,8,0.5,3,7,0.429,2,3,0.667,0,0,0,4,2,0,0,2,13,12.6,2025-10-24
Draymond Green,GSW,POR,L,21,4,7,0.571,3,4,0.75,1,2,0.5,0,3,3,5,0,0,5,4,12,6.1,2025-10-24
Drew Eubanks,SAC,UTA,W,11,0,5,0.0,0,1,0.0,0,2,0.0,0,2,2,1,0,1,0,0,0,-2.3,2025-10-24
Dru Smith,MIA,MEM,W,21,4,8,0.5,2,3,0.667,0,0,,2,1,3,5,3,1,1,2,10,13.1,2025-10-24
Duncan Robinson,DET,HOU,W,38,5,9,0.556,4,8,0.5,3,3,1.0,2,1,3,2,0,3,0,4,17,16.3,2025-10-24
Duop Reath,POR,GSW,W,3,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,2025-10-24
Dwight Powell,DAL,WAS,L,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,2025-10-24
Dylan Harper,SAS,NOP,W,26,3,12,0.25,1,5,0.2,6,6,1.0,1,4,5,3,1,0,3,5,13,5.8,2025-10-24
Dyson Daniels,ATL,ORL,W,32,3,7,0.429,0,0,,0,2,0.0,0,9,9,4,2,1,2,4,6,6.1,2025-10-24
Egor Dëmin,BKN,CLE,L,25,3,5,0.6,3,5,0.6,0,0,,1,5,6,4,0,0,3,4,9,7.1,2025-10-24
Evan Mobley,CLE,BKN,W,34,5,12,0.417,1,4,0.25,2,4,0.5,3,5,8,5,0,2,3,2,13,10.5,2025-10-24
Franz Wagner,ORL,ATL,L,35,10,17,0.588,2,5,0.4,5,6,0.833,2,4,6,2,1,0,4,5,27,17.7,2025-10-24
GG Jackson,MEM,MIA,L,16,2,7,0.286,0,3,0.0,1,2,0.5,1,1,2,0,1,0,0,1,5,2.1,2025-10-24
Gabe Vincent,LAL,MIN,W,24,2,5,0.4,1,3,0.333,0,0,,1,1,2,5,1,0,0,3,5,6.6,2025-10-24
Gary Payton II,GSW,POR,L,7,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,2025-10-24
Gary Trent Jr.,MIL,TOR,W,29,7,15,0.467,4,11,0.364,2,4,0.5,0,2,2,4,0,0,1,5,20,11.9,2025-10-24
